modzcta,modzcta_name,percentpositivity_14day,people_tested,cases,daterange
10001,Chelsea/NoMad/West Chelsea,0.89,1687,18,September 27-October 10
10002,Chinatown/Lower East Side,0.78,3589,26,September 27-October 10
10003,East Village/Gramercy/Greenwich Village,0.95,3356,32,September 27-October 10
10004,Financial District,0.85,235,4,September 27-October 10
10005,Financial District,1.07,562,7,September 27-October 10
10006,Financial District,1,201,1,September 27-October 10
10007,TriBeCa,0.58,516,3,September 27-October 10
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,0.57,3333,20,September 27-October 10
10010,Flatiron/Gramercy/Kips Bay,0.52,2677,17,September 27-October 10
10011,Chelsea,0.6,3663,25,September 27-October 10
10012,Greenwich Village/SoHo,1.56,1474,24,September 27-October 10
10013,Hudson Square/Little Italy/SoHo/TriBeCa,0.52,1730,9,September 27-October 10
10014,Hudson Square/Meatpacking District/West Village,0.86,2212,21,September 27-October 10
10016,Kips Bay/Murray Hill/NoMad,0.98,3568,36,September 27-October 10
10017,East Midtown/Murray Hill,0.73,954,8,September 27-October 10
10018,Hell's Kitchen/Midtown Manhattan,2.11,568,14,September 27-October 10
10019,Hell's Kitchen/Midtown Manhattan,0.57,2826,17,September 27-October 10
10021,Lenox Hill/Upper East Side,0.55,2935,18,September 27-October 10
10022,East Midtown,0.35,1981,9,September 27-October 10
10023,Lincoln Square,0.62,3711,23,September 27-October 10
10024,Upper West Side,0.38,3976,19,September 27-October 10
10025,Manhattan Valley/Morningside Heights/Upper West Side,0.62,7058,50,September 27-October 10
10026,Central Harlem (South),0.9,2100,20,September 27-October 10
10027,Central Harlem (South)/Morningside Heights/West Harlem,0.53,3965,21,September 27-October 10
10028,Upper East Side/Yorkville,0.79,2903,23,September 27-October 10
10029,East Harlem,0.93,3329,38,September 27-October 10
10030,Central Harlem (North),1.15,1300,16,September 27-October 10
10031,Hamilton Heights/West Harlem,1.45,2488,38,September 27-October 10
10032,Washington Heights (South),1.65,2610,43,September 27-October 10
10033,Washington Heights (North)/Washington Heights (South),1.46,2398,41,September 27-October 10
10034,Inwood/Washington Heights (North),1.36,1690,24,September 27-October 10
10035,East Harlem,1.49,1680,24,September 27-October 10
10036,Hell's Kitchen/Midtown Manhattan,0.36,1680,9,September 27-October 10
10037,Central Harlem (North)/East Harlem,0.78,899,7,September 27-October 10
10038,Chinatown/Financial District,1.07,1305,16,September 27-October 10
10039,Central Harlem (North)/Washington Heights (South),1.38,941,11,September 27-October 10
10040,Washington Heights (North),1.73,1850,33,September 27-October 10
10044,Roosevelt Island,0.41,490,3,September 27-October 10
10065,Lenox Hill/Upper East Side,0.42,2388,9,September 27-October 10
10069,Lincoln Square,0.63,478,3,September 27-October 10
10075,Lenox Hill/Upper East Side,0.94,1707,16,September 27-October 10
10128,Upper East Side/Yorkville,0.66,3939,21,September 27-October 10
10280,Battery Park City,0.65,462,2,September 27-October 10
